trace_number,ffid,sx,sy,gx,gy
1,1,400,0,100,0
2,1,400,0,150,0
3,1,400,0,200,0
4,1,400,0,250,0
5,1,400,0,300,0
6,1,400,0,350,0
7,1,400,0,400,0
8,1,400,0,450,0
9,1,400,0,500,0
10,1,400,0,550,0
11,1,400,0,600,0
12,1,400,0,650,0
13,1,400,0,700,0
14,1,400,0,750,0
15,1,400,0,800,0
16,1,400,0,850,0
17,1,400,0,900,0
18,1,400,0,950,0
19,1,400,0,1000,0
20,1,400,0,1050,0
21,1,400,0,1100,0
22,1,400,0,1150,0
23,1,400,0,1200,0
24,1,400,0,1250,0
25,1,400,0,1300,0
26,1,400,0,1350,0
27,1,400,0,1400,0
28,1,400,0,1450,0
29,1,400,0,1500,0
30,1,400,0,1550,0
31,1,400,0,1600,0
32,1,400,0,1650,0
33,1,400,0,1700,0
34,1,400,0,1750,0
35,1,400,0,1800,0
36,1,400,0,1850,0
37,1,400,0,1900,0
38,1,400,0,1950,0
39,1,400,0,2000,0
40,1,400,0,2050,0
41,1,400,0,2100,0
42,1,400,0,2150,0
43,1,400,0,2200,0
44,1,400,0,2250,0
45,1,400,0,2300,0
46,1,400,0,2350,0
47,1,400,0,2400,0
48,1,400,0,2450,0
49,1,400,0,2500,0
50,1,400,0,2550,0
51,1,400,0,2600,0
52,1,400,0,2650,0
53,1,400,0,2700,0
54,1,400,0,2750,0
55,1,400,0,2800,0
56,1,400,0,2850,0
57,1,400,0,2900,0
58,1,400,0,2950,0
59,1,400,0,3000,0
60,1,400,0,3050,0
61,1,400,0,3100,0
62,1,400,0,3150,0
63,1,400,0,3200,0
64,1,400,0,3250,0
65,1,400,0,3300,0
66,1,400,0,3350,0
67,1,400,0,3400,0
68,1,400,0,3450,0
69,1,400,0,3500,0
70,1,400,0,3550,0
71,1,400,0,3600,0
72,1,400,0,3650,0
73,1,400,0,3700,0
74,1,400,0,3750,0
75,1,400,0,3800,0
76,1,400,0,3850,0
77,1,400,0,3900,0
78,1,400,0,3950,0
79,1,400,0,4000,0
80,1,400,0,4050,0
81,1,400,0,4100,0
82,1,400,0,4150,0
83,1,400,0,4200,0
84,1,400,0,4250,0
85,1,400,0,4300,0
86,1,400,0,4350,0
87,1,400,0,4400,0
88,1,400,0,4450,0
89,1,400,0,4500,0
90,1,400,0,4550,0
91,1,400,0,4600,0
92,1,400,0,4650,0
93,1,400,0,4700,0
94,1,400,0,4750,0
95,1,400,0,4800,0
96,1,400,0,4850,0
97,1,400,0,4900,0
98,1,400,0,4950,0
99,1,400,0,5000,0
100,1,400,0,5050,0
101,1,400,0,5100,0
102,1,400,0,5150,0
103,1,400,0,5200,0
104,1,400,0,5250,0
105,1,400,0,5300,0
106,1,400,0,5350,0
107,1,400,0,5400,0
108,1,400,0,5450,0
109,1,400,0,5500,0
110,1,400,0,5550,0
111,1,400,0,5600,0
112,1,400,0,5650,0
113,1,400,0,5700,0
114,1,400,0,5750,0
115,1,400,0,5800,0
116,1,400,0,5850,0
117,1,400,0,5900,0
118,1,400,0,5950,0
119,1,400,0,6000,0
120,1,400,0,6050,0
121,1,400,0,6100,0
122,1,400,0,6150,0
123,1,400,0,6200,0
124,1,400,0,6250,0
125,1,400,0,6300,0
126,1,400,0,6350,0
127,1,400,0,6400,0
128,1,400,0,6450,0
129,1,400,0,6500,0
130,1,400,0,6550,0
131,1,400,0,6600,0
132,1,400,0,6650,0
133,1,400,0,6700,0
134,1,400,0,6750,0
135,1,400,0,6800,0
136,1,400,0,6850,0
137,1,400,0,6900,0
138,1,400,0,6950,0
139,1,400,0,7000,0
140,1,400,0,7050,0
141,1,400,0,7100,0
142,1,400,0,7150,0
143,1,400,0,7200,0
144,1,400,0,7250,0
145,1,400,0,7300,0
146,1,400,0,7350,0
147,1,400,0,7400,0
148,1,400,0,7450,0
149,1,400,0,7500,0
150,1,400,0,7550,0
151,1,400,0,7600,0
152,1,400,0,7650,0
153,1,400,0,7700,0
154,1,400,0,7750,0
155,1,400,0,7800,0
156,1,400,0,7850,0
157,1,400,0,7900,0
158,1,400,0,7950,0
159,1,400,0,8000,0
160,1,400,0,8050,0
161,1,400,0,8100,0
162,1,400,0,8150,0
163,1,400,0,8200,0
164,1,400,0,8250,0
165,1,400,0,8300,0
166,1,400,0,8350,0
167,1,400,0,8400,0
168,1,400,0,8450,0
169,1,400,0,8500,0
170,1,400,0,8550,0
171,1,400,0,8600,0
172,1,400,0,8650,0
173,1,400,0,8700,0
174,1,400,0,8750,0
175,1,400,0,8800,0
176,1,400,0,8850,0
177,1,400,0,8900,0
178,1,400,0,8950,0
179,1,400,0,9000,0
180,1,400,0,9050,0
181,1,400,0,9100,0
182,1,400,0,9150,0
183,1,400,0,9200,0
184,1,400,0,9250,0
185,1,400,0,9300,0
186,1,400,0,9350,0
187,1,400,0,9400,0
188,1,400,0,9450,0
189,1,400,0,9500,0
190,1,400,0,9550,0
191,1,400,0,9600,0
192,1,400,0,9650,0
193,1,400,0,9700,0
194,1,400,0,9750,0
195,1,400,0,9800,0
196,1,400,0,9850,0
197,1,400,0,9900,0
198,2,1013.333,0,100,0
199,2,1013.333,0,150,0
200,2,1013.333,0,200,0
201,2,1013.333,0,250,0
202,2,1013.333,0,300,0
203,2,1013.333,0,350,0
204,2,1013.333,0,400,0
205,2,1013.333,0,450,0
206,2,1013.333,0,500,0
207,2,1013.333,0,550,0
208,2,1013.333,0,600,0
209,2,1013.333,0,650,0
210,2,1013.333,0,700,0
211,2,1013.333,0,750,0
212,2,1013.333,0,800,0
213,2,1013.333,0,850,0
214,2,1013.333,0,900,0
215,2,1013.333,0,950,0
216,2,1013.333,0,1000,0
217,2,1013.333,0,1050,0
218,2,1013.333,0,1100,0
219,2,1013.333,0,1150,0
220,2,1013.333,0,1200,0
221,2,1013.333,0,1250,0
222,2,1013.333,0,1300,0
223,2,1013.333,0,1350,0
224,2,1013.333,0,1400,0
225,2,1013.333,0,1450,0
226,2,1013.333,0,1500,0
227,2,1013.333,0,1550,0
228,2,1013.333,0,1600,0
229,2,1013.333,0,1650,0
230,2,1013.333,0,1700,0
231,2,1013.333,0,1750,0
232,2,1013.333,0,1800,0
233,2,1013.333,0,1850,0
234,2,1013.333,0,1900,0
235,2,1013.333,0,1950,0
236,2,1013.333,0,2000,0
237,2,1013.333,0,2050,0
238,2,1013.333,0,2100,0
239,2,1013.333,0,2150,0
240,2,1013.333,0,2200,0
241,2,1013.333,0,2250,0
242,2,1013.333,0,2300,0
243,2,1013.333,0,2350,0
244,2,1013.333,0,2400,0
245,2,1013.333,0,2450,0
246,2,1013.333,0,2500,0
247,2,1013.333,0,2550,0
248,2,1013.333,0,2600,0
249,2,1013.333,0,2650,0
250,2,1013.333,0,2700,0
251,2,1013.333,0,2750,0
252,2,1013.333,0,2800,0
253,2,1013.333,0,2850,0
254,2,1013.333,0,2900,0
255,2,1013.333,0,2950,0
256,2,1013.333,0,3000,0
257,2,1013.333,0,3050,0
258,2,1013.333,0,3100,0
259,2,1013.333,0,3150,0
260,2,1013.333,0,3200,0
261,2,1013.333,0,3250,0
262,2,1013.333,0,3300,0
263,2,1013.333,0,3350,0
264,2,1013.333,0,3400,0
265,2,1013.333,0,3450,0
266,2,1013.333,0,3500,0
267,2,1013.333,0,3550,0
268,2,1013.333,0,3600,0
269,2,1013.333,0,3650,0
270,2,1013.333,0,3700,0
271,2,1013.333,0,3750,0
272,2,1013.333,0,3800,0
273,2,1013.333,0,3850,0
274,2,1013.333,0,3900,0
275,2,1013.333,0,3950,0
276,2,1013.333,0,4000,0
277,2,1013.333,0,4050,0
278,2,1013.333,0,4100,0
279,2,1013.333,0,4150,0
280,2,1013.333,0,4200,0
281,2,1013.333,0,4250,0
282,2,1013.333,0,4300,0
283,2,1013.333,0,4350,0
284,2,1013.333,0,4400,0
285,2,1013.333,0,4450,0
286,2,1013.333,0,4500,0
287,2,1013.333,0,4550,0
288,2,1013.333,0,4600,0
289,2,1013.333,0,4650,0
